Time;NCLK12;CKE;CKQ;ADDR;RWb;CRAMCS;DTAC2;AS
-2,463e-05;1;0;0;h1A8B;1;1;1;0
-2,462e-05;1;0;0;h1A8B;1;1;1;0
-2,461e-05;1;0;0;h1A8B;1;1;1;0
-2,46e-05;1;0;0;h1A8B;1;1;1;0
-2,459e-05;0;0;0;h1A8B;1;1;1;0
-2,458e-05;0;0;0;h1A8B;1;1;1;0
-2,457e-05;0;0;0;h1A8B;1;1;1;0
-2,456e-05;0;0;0;h1A8B;1;1;1;0
-2,455e-05;0;0;1;h1A8B;1;1;1;0
-2,454e-05;1;0;1;h1A8B;1;1;0;0
-2,453e-05;1;0;1;h1A8B;1;1;0;0
-2,452e-05;1;0;1;h1A8B;1;1;0;0
-2,451e-05;0;0;1;h1A8B;1;1;0;0
-2,45e-05;0;0;1;h1A8B;1;1;0;0
-2,449e-05;0;0;1;h1A8B;1;1;0;0
-2,448e-05;0;0;1;h1A8B;1;1;0;0
-2,447e-05;0;1;1;h1A8B;1;1;0;0
-2,446e-05;1;1;1;h1A8B;1;1;0;0
-2,445e-05;1;1;1;h1A8B;1;1;0;0
-2,444e-05;1;1;1;h1A8B;1;1;0;0
-2,443e-05;1;1;1;h1A8B;1;1;0;0
-2,442e-05;0;1;1;h1A8B;1;1;0;0
-2,441e-05;0;1;1;h1A8B;1;1;0;0
-2,44e-05;0;1;1;h1A8B;1;1;0;0
-2,439e-05;0;1;0;h1A8B;1;1;0;0
-2,438e-05;1;1;0;h1A8B;1;1;0;0
-2,437e-05;1;1;0;h1A8B;1;1;0;0
-2,436e-05;1;1;0;h1A8B;1;1;0;0
-2,435e-05;1;1;0;h1A8B;1;1;0;1
-2,434e-05;0;1;0;h1A8B;1;1;0;1
-2,433e-05;0;1;0;h1A8B;1;1;1;1
-2,432e-05;0;1;0;h228B;1;1;1;1
-2,431e-05;0;1;0;hA029;1;1;1;1
-2,43e-05;1;0;0;hA029;1;1;1;1
-2,429e-05;1;0;0;hA029;1;1;1;1
-2,428e-05;1;0;0;hA029;1;1;1;1
-2,427e-05;1;0;0;hA029;1;1;1;1
-2,426e-05;0;0;0;hA029;1;1;1;0
-2,425e-05;0;0;0;hA029;1;1;1;0
-2,424e-05;0;0;0;hA029;1;1;1;0
-2,423e-05;0;0;0;hA029;1;1;1;0
-2,422e-05;1;0;1;hA029;1;1;1;0
-2,421e-05;1;0;1;hA029;1;1;1;0
-2,42e-05;1;0;1;hA029;1;1;1;0
-2,419e-05;1;0;1;hA029;1;1;1;0
-2,418e-05;0;0;1;hA029;1;1;1;0
-2,417e-05;0;0;1;hA029;1;1;1;0
-2,416e-05;0;0;1;hA029;1;1;1;0
-2,415e-05;0;0;1;hA029;1;1;1;0
-2,414e-05;0;1;1;hA029;1;1;1;0
-2,413e-05;1;1;1;hA029;1;1;0;0
-2,412e-05;1;1;1;hA029;1;1;0;0
-2,411e-05;1;1;1;hA029;1;1;0;0
-2,41e-05;0;1;1;hA029;1;1;0;0
-2,409e-05;0;1;1;hA029;1;1;0;0
-2,408e-05;0;1;1;hA029;1;1;0;0
-2,407e-05;0;1;1;hA029;1;1;0;0
-2,406e-05;0;1;0;hA029;1;1;0;0
-2,405e-05;1;1;0;hA029;1;1;0;0
-2,404e-05;1;1;0;hA029;1;1;0;0
-2,403e-05;1;1;0;hA029;1;1;0;0
-2,402e-05;0;1;0;hA029;1;1;0;0
-2,401e-05;0;1;0;hA029;1;1;0;0
-2,4e-05;0;1;0;hA029;1;1;0;0
-2,399e-05;0;1;0;hA029;1;1;0;0
-2,398e-05;0;0;0;hA029;1;1;0;0
-2,397e-05;1;0;0;hA029;1;1;0;0
-2,396e-05;1;0;0;hA029;1;1;0;0
-2,395e-05;1;0;0;hA029;1;1;0;0
-2,394e-05;1;0;0;hA029;1;1;0;1
-2,393e-05;0;0;0;hA029;1;1;0;1
-2,392e-05;0;0;0;hA029;1;1;1;1
-2,391e-05;0;0;0;hA029;1;1;1;1
-2,39e-05;0;0;1;hA02A;1;1;1;1
-2,389e-05;1;0;1;hA02A;1;1;1;1
-2,388e-05;1;0;1;hA02A;1;1;1;1
-2,387e-05;1;0;1;hA02A;1;1;1;1
-2,386e-05;1;0;1;hA02A;1;1;1;1
-2,385e-05;0;0;1;hA02A;1;1;1;0
-2,384e-05;0;0;1;hA02A;1;1;1;0
-2,383e-05;0;0;1;hA02A;1;1;1;0
-2,382e-05;0;0;1;hA02A;1;1;1;0
-2,381e-05;1;1;1;hA02A;1;1;1;0
-2,38e-05;1;1;1;hA02A;1;1;1;0
-2,379e-05;1;1;1;hA02A;1;1;1;0
-2,378e-05;1;1;1;hA02A;1;1;1;0
-2,377e-05;0;1;1;hA02A;1;1;1;0
-2,376e-05;0;1;1;hA02A;1;1;1;0
-2,375e-05;0;1;1;hA02A;1;1;1;0
-2,374e-05;0;1;1;hA02A;1;1;1;0
-2,373e-05;1;1;0;hA02A;1;1;1;0
-2,372e-05;1;1;0;hA02A;1;1;0;0
-2,371e-05;1;1;0;hA02A;1;1;0;0
-2,37e-05;1;1;0;hA02A;1;1;0;0
-2,369e-05;0;1;0;hA02A;1;1;0;0
-2,368e-05;0;1;0;hA02A;1;1;0;0
-2,367e-05;0;1;0;hA02A;1;1;0;0
-2,366e-05;0;1;0;hA02A;1;1;0;0
-2,365e-05;0;0;0;hA02A;1;1;0;0
-2,364e-05;1;0;0;hA02A;1;1;0;0
-2,363e-05;1;0;0;hA02A;1;1;0;0
-2,362e-05;1;0;0;hA02A;1;1;0;0
-2,361e-05;0;0;0;hA02A;1;1;0;0
-2,36e-05;0;0;0;hA02A;1;1;0;0
-2,359e-05;0;0;0;hA02A;1;1;0;0
-2,358e-05;0;0;0;hA02A;1;1;0;0
-2,357e-05;0;0;1;hA02A;1;1;0;0
-2,356e-05;1;0;1;hA02A;1;1;0;0
-2,355e-05;1;0;1;hA02A;1;1;0;0
-2,354e-05;1;0;1;hA02A;1;1;0;0
-2,353e-05;1;0;1;hA02A;1;1;0;1
-2,352e-05;0;0;1;hA02A;1;1;0;1
-2,351e-05;0;0;1;hA02A;1;1;1;1
-2,35e-05;0;0;1;hA02A;1;1;1;1
-2,349e-05;0;1;1;hA02A;1;1;1;1
-2,348e-05;1;1;1;hA02A;1;1;1;1
-2,347e-05;1;1;1;hA02A;1;1;1;1
-2,346e-05;1;1;1;hA02A;1;1;1;1
-2,345e-05;1;1;1;hA02A;1;1;1;1
-2,344e-05;0;1;1;hA02A;1;1;1;1
-2,343e-05;0;1;1;hA02A;1;1;1;1
-2,342e-05;0;1;1;hA02A;1;1;1;1
-2,341e-05;0;1;1;hA02A;1;1;1;1
-2,34e-05;1;1;0;hA02A;1;1;1;1
-2,339e-05;1;1;0;hA02A;1;1;1;1
-2,338e-05;1;1;0;hA02A;1;1;1;1
-2,337e-05;1;1;0;hA02A;1;1;1;1
-2,336e-05;0;1;0;hA02A;1;1;1;1
-2,335e-05;0;1;0;hA02A;1;1;1;1
-2,334e-05;0;1;0;hA02A;1;1;1;1
-2,333e-05;0;1;0;hA02A;1;1;1;1
-2,332e-05;1;0;0;hA02A;1;1;1;1
-2,331e-05;1;0;0;hA02A;1;1;1;1
-2,33e-05;1;0;0;hA02A;1;1;1;1
-2,329e-05;1;0;0;hA02A;1;1;1;1
-2,328e-05;0;0;0;hA02A;1;1;1;1
-2,327e-05;0;0;0;hA02A;1;1;1;1
-2,326e-05;0;0;0;hA02A;1;1;1;1
-2,325e-05;0;0;0;hA02E;1;1;1;1
-2,324e-05;0;0;1;hA02F;1;1;1;1
-2,323e-05;1;0;1;hA02F;1;1;1;1
-2,322e-05;1;0;1;hA02F;1;1;1;1
-2,321e-05;1;0;1;hA02F;1;1;1;1
-2,32e-05;0;0;1;hA02F;1;1;1;0
-2,319e-05;0;0;1;hA02F;1;1;1;0
-2,318e-05;0;0;1;hA02F;1;1;1;0
-2,317e-05;0;0;1;hA02F;1;1;1;0
-2,316e-05;0;1;1;hA02F;1;1;1;0
-2,315e-05;1;1;1;hA02F;1;1;1;0
-2,314e-05;1;1;1;hA02F;1;1;1;0
-2,313e-05;1;1;1;hA02F;1;1;1;0
